Variable,Label,DIAL_NE
ND_PBD_ORIGDIS_NEF70_74," NonDual or Partial Benefit Dual and Originally Disabled Female 70-74",1.036
ND_PBD_ORIGDIS_NEF75_79," NonDual or Partial Benefit Dual and Originally Disabled Female 75-79",1.018
ND_PBD_ORIGDIS_NEF80_84," NonDual or Partial Benefit Dual and Originally Disabled Female 80-84",1.018
ND_PBD_ORIGDIS_NEF85_GT," NonDual or Partial Benefit Dual and Originally Disabled Female 85+",1.018
ND_PBD_ORIGDIS_NEM0_34," NonDual or Partial Benefit Dual and Originally Disabled Male 0-34",0.944
ND_PBD_ORIGDIS_NEM35_44," NonDual or Partial Benefit Dual and Originally Disabled Male 35-44",0.944
ND_PBD_ORIGDIS_NEM45_54," NonDual or Partial Benefit Dual and Originally Disabled Male 45-54",0.851
ND_PBD_ORIGDIS_NEM55_59," NonDual or Partial Benefit Dual and Originally Disabled Male 55-59",0.847
ND_PBD_ORIGDIS_NEM60_64," NonDual or Partial Benefit Dual and Originally Disabled Male 60-64",0.859
ND_PBD_ORIGDIS_NEM65_69," NonDual or Partial Benefit Dual and Originally Disabled Male 65-69",0.921
ND_PBD_ORIGDIS_NEM70_74," NonDual or Partial Benefit Dual and Originally Disabled Male 70-74",0.902
ND_PBD_ORIGDIS_NEM75_79," NonDual or Partial Benefit Dual and Originally Disabled Male 75-79",1.004
ND_PBD_ORIGDIS_NEM80_84," NonDual or Partial Benefit Dual and Originally Disabled Male 80-84",1.004
ND_PBD_ORIGDIS_NEM85_GT," NonDual or Partial Benefit Dual and Originally Disabled Male 85+",1.004
FBD_ORIGDIS_NEF0_34," Full Benefit Dual and Originally Disabled Female 0-34",1.207
FBD_ORIGDIS_NEF35_44," Full Benefit Dual and Originally Disabled Female 35-44",1.207
FBD_ORIGDIS_NEF45_54," Full Benefit Dual and Originally Disabled Female 45-54",1.118
FBD_ORIGDIS_NEF55_59," Full Benefit Dual and Originally Disabled Female 55-59",1.118
FBD_ORIGDIS_NEF60_64," Full Benefit Dual and Originally Disabled Female 60-64",1.118
FBD_ORIGDIS_NEF65_69," Full Benefit Dual and Originally Disabled Female 65-69",1.217
FBD_ORIGDIS_NEF70_74," Full Benefit Dual and Originally Disabled Female 70-74",1.196
FBD_ORIGDIS_NEF75_79," Full Benefit Dual and Originally Disabled Female 75-79",1.196
FBD_ORIGDIS_NEF80_84," Full Benefit Dual and Originally Disabled Female 80-84",1.196
FBD_ORIGDIS_NEF85_GT," Full Benefit Dual and Originally Disabled Female 85+",1.196
FBD_ORIGDIS_NEM0_34," Full Benefit Dual and Originally Disabled Male 0-34",1.074
FBD_ORIGDIS_NEM35_44," Full Benefit Dual and Originally Disabled Male 35-44",1.074
FBD_ORIGDIS_NEM45_54," Full Benefit Dual and Originally Disabled Male 45-54",1.074
FBD_ORIGDIS_NEM55_59," Full Benefit Dual and Originally Disabled Male 55-59",1.096
FBD_ORIGDIS_NEM60_64," Full Benefit Dual and Originally Disabled Male 60-64",1.126
FBD_ORIGDIS_NEM65_69," Full Benefit Dual and Originally Disabled Male 65-69",1.258
FBD_ORIGDIS_NEM70_74," Full Benefit Dual and Originally Disabled Male 70-74",1.258
FBD_ORIGDIS_NEM75_79," Full Benefit Dual and Originally Disabled Male 75-79",1.258
FBD_ORIGDIS_NEM80_84," Full Benefit Dual and Originally Disabled Male 80-84",1.258
FBD_ORIGDIS_NEM85_GT," Full Benefit Dual and Originally Disabled Male 85+",1.258
